keyword,search_volume,difficulty,intent,topic_cluster,priority,word_count,estimated_cpc,competition,language
"how to apply for excavator financing Malaysia",60,low,commercial,equipment-financing-general,high,7,2.40,low,en
"excavator financing bad credit Malaysia",45,low,transactional,financing-alternatives,high,5,9.50,low,en
"used excavator financing Malaysia",55,low,commercial,used-equipment-financing,high,5,8.50,low,en
"excavator hire purchase Selangor",80,low,commercial,excavator-financing,high,5,7.80,low,en
"excavator financing for small contractors",42,low,commercial,industry-specific,high,6,7.20,low,en
"mini excavator financing Malaysia",38,low,commercial,excavator-financing,high,5,6.80,low,en
"excavator financing no down payment",35,low,transactional,financing-alternatives,high,5,10.20,low,en
"excavator financing fast approval Klang",28,low,transactional,location-based,high,6,10.50,medium,en
"excavator loan for CIDB contractors",40,low,commercial,industry-specific,high,6,8.90,low,en
"Caterpillar excavator financing Malaysia",32,low,commercial,brand-specific,medium,5,8.50,low,en
"excavator financing 10 years old",25,low,commercial,used-equipment-financing,high,6,8.50,low,en
"excavator financing with insurance bundle",30,low,commercial,equipment-financing-general,high,6,8.20,low,en
"excavator financing seasonal payment options",22,low,commercial,financing-alternatives,high,6,9.20,low,en
"excavator financing government projects",35,low,commercial,industry-specific,high,5,9.80,low,en
"excavator financing for tender projects",38,low,commercial,industry-specific,high,6,9.20,low,en
"forklift financing Malaysia no deposit",45,low,transactional,forklift-financing,high,5,5.90,low,en
"forklift hire purchase Malaysia",65,low,commercial,forklift-financing,high,5,5.50,low,en
"electric forklift financing Malaysia",48,low,commercial,forklift-financing,high,5,6.50,low,en
"used forklift financing Malaysia",52,low,commercial,used-equipment-financing,high,5,6.10,low,en
"forklift financing for warehouse expansion",40,low,commercial,industry-specific,high,6,7.60,low,en
"forklift financing SME Malaysia",42,low,commercial,industry-specific,high,5,6.40,low,en
"reach truck financing Malaysia",35,low,commercial,forklift-financing,medium,5,6.20,low,en
"diesel forklift financing Malaysia",28,low,commercial,forklift-financing,medium,5,6.10,low,en
"Toyota forklift financing Malaysia",30,low,commercial,brand-specific,medium,5,6.00,low,en
"forklift leasing vs buying Malaysia",38,low,informational,comparison-keywords,high,5,5.90,low,en
"forklift financing calculator Malaysia",42,low,commercial,equipment-financing-general,high,5,4.50,low,en
"forklift rental vs purchase cost analysis",32,low,informational,comparison-keywords,high,6,5.90,low,en
"pallet jack financing Malaysia",25,low,commercial,forklift-financing,medium,5,4.80,low,en
"forklift financing B2B warehouse",35,low,commercial,industry-specific,high,5,7.40,low,en
"forklift financing preserve cash flow",28,low,informational,equipment-financing-general,high,5,7.20,low,en
"lorry financing Malaysia fast approval",85,low,transactional,lorry-financing,high,5,6.80,low,en
"lorry financing bad credit Malaysia",60,low,transactional,financing-alternatives,high,5,8.90,low,en
"used lorry financing Malaysia",75,low,commercial,used-equipment-financing,high,5,6.20,low,en
"lorry financing no down payment Malaysia",48,low,transactional,financing-alternatives,high,6,9.80,low,en
"1 ton lorry hire purchase Malaysia",70,low,commercial,lorry-financing,high,6,5.20,low,en
"lorry financing for logistics startups",42,low,commercial,industry-specific,high,6,8.90,low,en
"lorry financing Klang Valley",55,low,commercial,location-based,high,5,6.80,low,en
"cargo lorry financing Malaysia",45,low,commercial,lorry-financing,high,5,6.50,low,en
"lorry financing 60 month terms",38,low,commercial,lorry-financing,high,5,7.40,low,en
"lorry financing for gig economy drivers",35,low,commercial,industry-specific,high,6,8.40,low,en
"lorry financing single vehicle owner",40,low,commercial,lorry-financing,high,5,9.40,low,en
"lorry financing for former drivers",28,low,commercial,industry-specific,high,6,9.60,low,en
"refrigerated lorry financing Malaysia",42,low,commercial,lorry-financing,medium,5,7.90,low,en
"box lorry financing Malaysia",38,low,commercial,lorry-financing,medium,5,6.80,low,en
"lorry financing interest rate Malaysia",50,low,commercial,equipment-financing-general,high,5,7.30,low,en
"prime mover financing Malaysia",120,medium,commercial,prime-mover-financing,high,5,9.20,low,en
"prime mover financing Port Klang",55,low,commercial,location-based,high,5,7.60,low,en
"used prime mover financing Malaysia",48,low,commercial,used-equipment-financing,high,5,8.60,low,en
"Scania prime mover financing Malaysia",32,low,commercial,brand-specific,medium,5,7.90,low,en
"Volvo prime mover financing Malaysia",28,low,commercial,brand-specific,medium,5,8.80,low,en
"prime mover financing shipping line contract",38,low,transactional,industry-specific,high,6,9.20,low,en
"prime mover and trailer package financing",35,low,commercial,prime-mover-financing,high,6,8.80,low,en
"prime mover financing Maersk contract",18,low,transactional,industry-specific,high,5,10.80,low,en
"semi trailer financing Malaysia",40,low,commercial,prime-mover-financing,medium,5,6.80,low,en
"container truck financing Malaysia",85,medium,commercial,prime-mover-financing,high,5,8.90,low,en
"bulldozer financing Malaysia",68,medium,commercial,bulldozer-financing,high,4,8.10,low,en
"used bulldozer financing Malaysia",52,low,commercial,used-equipment-financing,high,5,7.80,low,en
"bulldozer financing government projects",42,low,commercial,industry-specific,high,5,9.80,low,en
"bulldozer financing Class A CIDB contractor",38,low,commercial,industry-specific,high,7,9.40,low,en
"bulldozer financing land clearing projects",35,low,commercial,industry-specific,high,6,8.80,low,en
"wheel loader financing Malaysia",48,medium,commercial,bulldozer-financing,medium,5,7.60,low,en
"motor grader financing Malaysia",35,medium,commercial,bulldozer-financing,medium,5,8.20,low,en
"vibratory roller financing Malaysia",28,medium,commercial,bulldozer-financing,medium,5,7.40,low,en
"crane financing Malaysia",42,medium,commercial,crane-financing,medium,4,8.80,low,en
"mobile crane financing Malaysia",38,low,commercial,crane-financing,medium,5,8.50,low,en
"tower crane financing Malaysia",32,low,commercial,crane-financing,medium,5,8.80,low,en
"how to get equipment financing with bad credit",58,low,informational,financing-alternatives,high,8,10.80,low,en
"equipment financing minimal documentation required",42,low,commercial,financing-alternatives,high,6,9.60,low,en
"equipment financing 95 percent approval rate",28,low,commercial,equipment-financing-general,high,7,11.20,low,en
"equipment financing 2 hours approval Malaysia",22,low,transactional,equipment-financing-general,high,7,11.50,low,en
"equipment financing same day approval Malaysia",32,low,transactional,equipment-financing-general,high,6,11.20,low,en
"equipment financing for cash based business",38,low,commercial,financing-alternatives,high,6,10.20,low,en
"equipment financing Chinese speaking service",25,low,commercial,equipment-financing-general,high,6,8.60,low,en
"equipment financing Mandarin service Klang",22,low,commercial,location-based,high,6,9.40,low,en
"equipment financing WhatsApp application",28,low,transactional,equipment-financing-general,high,5,8.40,low,en
"equipment financing flexible payment terms",45,low,commercial,financing-alternatives,high,5,8.60,low,en
"equipment financing project based payment",32,low,commercial,financing-alternatives,high,5,9.60,low,en
"equipment financing for monsoon season business",22,low,commercial,industry-specific,high,7,9.80,low,en
"equipment financing CNY expansion",18,low,commercial,industry-specific,high,5,9.20,low,en
"new vs used excavator financing comparison",42,low,informational,comparison-keywords,high,6,7.60,low,en
"lorry financing vs leasing Malaysia",38,low,informational,comparison-keywords,high,5,6.80,low,en
"hire purchase vs loan financing equipment",45,low,informational,comparison-keywords,high,6,7.20,low,en
"equipment financing vs cash purchase ROI",35,low,informational,comparison-keywords,medium,6,6.90,low,en
"equipment financing calculator Malaysia",52,low,commercial,equipment-financing-general,high,5,6.40,low,en
"excavator financing ROI calculator",38,low,commercial,equipment-financing-general,high,5,6.90,low,en
"lorry financing total cost calculator",35,low,informational,equipment-financing-general,high,5,7.60,low,en
"equipment financing approval checklist",42,low,informational,equipment-financing-general,high,5,5.80,low,en
"equipment financing tax benefits Malaysia",48,low,informational,equipment-financing-general,high,5,7.60,low,en
"how equipment financing helps win tenders",38,low,informational,equipment-financing-general,high,6,6.80,low,en
"cash flow management construction equipment",42,low,informational,equipment-financing-general,high,5,7.40,low,en
