Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Malaysia,38,1,1714,95,2.22%,1.05%,38.47,34.59
Taiwan,3,0,18,3,16.67%,0%,6.89,5.67
Cambodia,3,0,17,0,17.65%,0%,7.47,0
Hong Kong,1,0,9,0,11.11%,0%,32,0
United States,0,0,218,22,0%,0%,8.78,5.32
Singapore,0,0,48,2,0%,0%,8.73,4
China,0,0,15,1,0%,0%,10,8
Philippines,0,0,14,0,0%,0%,47.5,0
Canada,0,0,12,0,0%,0%,5.83,0
United Kingdom,0,0,11,0,0%,0%,7.45,0
India,0,0,10,0,0%,0%,5.8,0
Indonesia,0,0,7,1,0%,0%,8.71,11
Seychelles,0,0,6,1,0%,0%,3.33,10
Netherlands,0,0,6,0,0%,0%,6.67,0
Myanmar (Burma),0,0,6,0,0%,0%,7.33,0
Brazil,0,0,6,1,0%,0%,8.83,1
Mexico,0,0,6,0,0%,0%,9.67,0
Vietnam,0,0,5,1,0%,0%,9.8,19
Thailand,0,0,3,0,0%,0%,1.33,0
France,0,0,3,0,0%,0%,7.67,0
Australia,0,0,3,0,0%,0%,16.33,0
Germany,0,0,2,0,0%,0%,10,0
Saudi Arabia,0,0,2,0,0%,0%,26,0
Finland,0,0,1,0,0%,0%,1,0
Ireland,0,0,1,0,0%,0%,1,0
South Korea,0,0,1,0,0%,0%,1,0
Ecuador,0,0,1,0,0%,0%,2,0
Turkey,0,0,1,0,0%,0%,2,0
Pakistan,0,0,1,0,0%,0%,3,0
Sweden,0,0,1,0,0%,0%,3,0
Venezuela,0,0,1,0,0%,0%,4,0
Bolivia,0,0,1,0,0%,0%,5,0
New Zealand,0,0,1,0,0%,0%,6,0
Tunisia,0,0,1,0,0%,0%,6,0
Ukraine,0,0,1,0,0%,0%,6,0
Kuwait,0,0,1,0,0%,0%,7,0
Spain,0,0,1,0,0%,0%,8,0
Estonia,0,0,1,0,0%,0%,8,0
Latvia,0,0,1,0,0%,0%,8,0
Poland,0,0,1,0,0%,0%,8,0
Kazakhstan,0,0,1,0,0%,0%,9,0
Macedonia,0,0,1,0,0%,0%,9,0
Costa Rica,0,0,1,0,0%,0%,10,0
Czechia,0,0,1,0,0%,0%,10,0
Japan,0,0,1,0,0%,0%,10,0
Slovakia,0,0,1,0,0%,0%,10,0
Italy,0,0,1,0,0%,0%,11,0
South Africa,0,0,1,0,0%,0%,11,0
Zimbabwe,0,0,1,0,0%,0%,14,0
Argentina,0,0,1,0,0%,0%,17,0
Colombia,0,0,1,0,0%,0%,20,0
Bangladesh,0,0,1,1,0%,0%,30,7
Guatemala,0,0,1,0,0%,0%,40,0
Portugal,0,0,0,1,0%,0%,0,4
