Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Malaysia,25,4,899,121,2.78%,3.31%,35.67,22.66
United States,0,0,54,17,0%,0%,8.41,8.47
Singapore,0,0,7,2,0%,0%,8.43,4.5
Australia,0,0,4,0,0%,0%,6.5,0
Vietnam,0,0,4,0,0%,0%,10,0
India,0,0,4,0,0%,0%,19.75,0
Indonesia,0,0,3,1,0%,0%,7.67,5
Brazil,0,0,2,0,0%,0%,6,0
Japan,0,0,2,2,0%,0%,6,5.5
France,0,0,2,0,0%,0%,6.5,0
Spain,0,0,2,0,0%,0%,19,0
Oman,0,0,1,0,0%,0%,1,0
Canada,0,0,1,0,0%,0%,3,0
Venezuela,0,0,1,0,0%,0%,5,0
Bangladesh,0,0,1,0,0%,0%,11,0
Seychelles,0,0,1,0,0%,0%,11,0
Guatemala,0,0,1,0,0%,0%,15,0
Honduras,0,0,1,0,0%,0%,15,0
Pakistan,0,0,1,0,0%,0%,18,0
Iraq,0,0,1,0,0%,0%,20,0
Netherlands,0,0,0,1,0%,0%,0,3
United Kingdom,0,0,0,1,0%,0%,0,4
Belgium,0,0,0,1,0%,0%,0,5
Italy,0,0,0,1,0%,0%,0,6
Argentina,0,0,0,1,0%,0%,0,11
