Date,Clicks,Impressions,CTR,Position
2025-11-04,0,0,,
2025-11-05,0,0,,
2025-11-06,0,1,0%,62
2025-11-07,0,1,0%,13
2025-11-08,0,10,0%,52.4
2025-11-09,1,40,2.5%,57.1
2025-11-10,0,52,0%,62.5
2025-11-11,0,15,0%,54.6
2025-11-12,0,1,0%,6
2025-11-13,0,5,0%,7.4
2025-11-14,0,7,0%,11.3
2025-11-15,0,3,0%,27
2025-11-16,0,5,0%,52.6
2025-11-17,0,11,0%,27
2025-11-18,0,16,0%,33.6
2025-11-19,1,13,7.69%,40.5
2025-11-20,0,14,0%,43.8
2025-11-21,0,7,0%,16.4
2025-11-22,0,22,0%,35.1
2025-11-23,0,10,0%,40.2
2025-11-24,0,8,0%,54.2
2025-11-25,0,10,0%,34.4
2025-11-26,0,14,0%,49.5
2025-11-27,0,11,0%,46.6
2025-11-28,0,9,0%,54.1
2025-11-29,0,7,0%,39.6
2025-11-30,0,3,0%,63.7
2025-12-01,0,8,0%,31.9
2025-12-02,0,12,0%,13
2025-12-03,0,6,0%,11.3
2025-12-04,0,3,0%,16.3
2025-12-05,0,4,0%,10.5
2025-12-06,0,3,0%,13.7
2025-12-07,0,3,0%,40.7
2025-12-08,1,1,100%,23
2025-12-09,0,2,0%,9.5
2025-12-10,0,6,0%,7.2
2025-12-11,0,1,0%,8
2025-12-12,0,2,0%,9.5
2025-12-13,0,0,,
2025-12-14,0,5,0%,5.2
2025-12-15,0,1,0%,4
2025-12-16,0,4,0%,5.8
2025-12-17,0,2,0%,9
2025-12-18,0,2,0%,5
2025-12-19,0,3,0%,4.3
2025-12-20,0,1,0%,4
2025-12-21,0,4,0%,6
2025-12-22,0,2,0%,8
2025-12-23,1,9,11.11%,5.1
2025-12-24,0,8,0%,15.8
2025-12-25,0,73,0%,40.6
2025-12-26,2,112,1.79%,48.8
2025-12-27,1,102,0.98%,43.8
2025-12-28,1,96,1.04%,50.2
2025-12-29,3,126,2.38%,35.4
2025-12-30,1,111,0.9%,43.7
2025-12-31,3,108,2.78%,40
2026-01-01,3,129,2.33%,50.2
2026-01-02,1,101,0.99%,29.7
2026-01-03,0,55,0%,28.3
2026-01-04,0,74,0%,32
2026-01-05,4,122,3.28%,26.2
2026-01-06,2,90,2.22%,19.9
2026-01-07,5,73,6.85%,20.2
2026-01-08,5,87,5.75%,20.9
2026-01-09,2,75,2.67%,20.4
2026-01-10,1,35,2.86%,24
2026-01-11,0,65,0%,23
2026-01-12,2,65,3.08%,17.9
2026-01-13,0,62,0%,21.8
2026-01-14,2,61,3.28%,33.5
2026-01-15,0,50,0%,19.1
2026-01-16,3,74,4.05%,35.9
2026-01-17,1,43,2.33%,37.9
2026-01-18,2,81,2.47%,20.7
2026-01-19,0,84,0%,24.5
2026-01-20,1,86,1.16%,18
2026-01-21,2,96,2.08%,20.2
2026-01-22,0,99,0%,26.3
2026-01-23,2,40,5%,13.7
2026-01-24,0,76,0%,27
