Date,Clicks,Impressions,CTR,Position
2025-11-03,4,41,9.76%,23
2025-11-04,2,35,5.71%,16.1
2025-11-05,2,44,4.55%,26
2025-11-06,4,50,8%,18.5
2025-11-07,2,35,5.71%,24.8
2025-11-08,1,25,4%,24.6
2025-11-09,0,29,0%,29.7
2025-11-10,1,66,1.52%,30.4
2025-11-11,2,104,1.92%,23.8
2025-11-12,1,86,1.16%,22.2
2025-11-13,1,81,1.23%,27.8
2025-11-14,1,118,0.85%,22.5
2025-11-15,1,76,1.32%,32
2025-11-16,2,105,1.9%,25
2025-11-17,5,129,3.88%,25.8
2025-11-18,6,154,3.9%,22.3
2025-11-19,1,134,0.75%,23.3
2025-11-20,3,104,2.88%,25.2
2025-11-21,2,83,2.41%,25
2025-11-22,1,79,1.27%,32.3
2025-11-23,1,93,1.08%,25.6
2025-11-24,1,103,0.97%,21.7
2025-11-25,5,111,4.5%,25.8
2025-11-26,5,147,3.4%,22.8
2025-11-27,2,101,1.98%,33
2025-11-28,0,88,0%,33
2025-11-29,0,59,0%,36.3
2025-11-30,5,84,5.95%,20.9
2025-12-01,3,127,2.36%,22.5
2025-12-02,1,94,1.06%,24.6
2025-12-03,1,87,1.15%,26.9
2025-12-04,1,81,1.23%,24.6
2025-12-05,2,75,2.67%,30.1
2025-12-06,2,67,2.99%,32
2025-12-07,3,94,3.19%,27.2
2025-12-08,1,80,1.25%,30.6
2025-12-09,1,77,1.3%,30.1
2025-12-10,2,109,1.83%,29.4
2025-12-11,1,84,1.19%,31.2
2025-12-12,0,77,0%,32.8
2025-12-13,1,72,1.39%,37.2
2025-12-14,1,81,1.23%,41.2
2025-12-15,1,103,0.97%,31.5
2025-12-16,1,113,0.88%,28.2
2025-12-17,2,60,3.33%,21.4
2025-12-18,2,93,2.15%,32.7
2025-12-19,3,75,4%,36.3
2025-12-20,0,73,0%,33.7
2025-12-21,3,104,2.88%,30.5
2025-12-22,1,113,0.88%,29.3
2025-12-23,5,118,4.24%,27.9
2025-12-24,1,84,1.19%,31.5
2025-12-25,1,73,1.37%,40.2
2025-12-26,0,41,0%,34.5
2025-12-27,0,24,0%,47
2025-12-28,1,28,3.57%,50
2025-12-29,2,29,6.9%,38.8
2025-12-30,1,26,3.85%,33.6
2025-12-31,0,27,0%,40.8
2026-01-01,0,31,0%,37.4
2026-01-02,1,61,1.64%,33.7
2026-01-03,0,77,0%,45.9
2026-01-04,3,60,5%,34.5
2026-01-05,0,48,0%,25.7
2026-01-06,1,38,2.63%,34.6
2026-01-07,0,46,0%,39.3
2026-01-08,4,53,7.55%,40.9
2026-01-09,3,44,6.82%,57.7
2026-01-10,0,31,0%,53.7
2026-01-11,2,31,6.45%,43.9
2026-01-12,0,26,0%,37.2
2026-01-13,2,29,6.9%,33.1
2026-01-14,0,38,0%,29.3
2026-01-15,3,23,13.04%,15
2026-01-16,0,40,0%,56.7
2026-01-17,1,23,4.35%,53.1
2026-01-18,0,89,0%,31.4
2026-01-19,3,125,2.4%,28.7
2026-01-20,6,129,4.65%,27.5
2026-01-21,4,108,3.7%,25.4
2026-01-22,5,190,2.63%,33.4
2026-01-23,0,68,0%,22.9
2026-01-24,1,138,0.72%,37.1
