Country,Clicks,Impressions,CTR,Position
Malaysia,121,4841,2.5%,34.07
Singapore,12,113,10.62%,13
India,5,38,13.16%,13.47
Japan,2,47,4.26%,16.79
Spain,2,7,28.57%,11.14
Taiwan,1,17,5.88%,9.18
Sri Lanka,1,3,33.33%,5
United States,0,659,0%,9.06
South Africa,0,128,0%,30.48
United Kingdom,0,84,0%,46.56
China,0,31,0%,14.65
Australia,0,27,0%,31.96
Canada,0,26,0%,19.65
Vietnam,0,23,0%,11
Brazil,0,21,0%,10.24
South Korea,0,19,0%,11.58
France,0,17,0%,36.82
Indonesia,0,16,0%,10.62
Philippines,0,14,0%,35
Thailand,0,11,0%,11.36
Bangladesh,0,10,0%,10.9
Mexico,0,10,0%,13
Seychelles,0,9,0%,3.33
Pakistan,0,8,0%,10.88
Germany,0,8,0%,17.88
Nigeria,0,8,0%,35.5
Argentina,0,7,0%,23.86
Hong Kong,0,5,0%,7.8
Saudi Arabia,0,4,0%,7.5
Ireland,0,4,0%,8.75
Turkey,0,4,0%,17.75
Portugal,0,4,0%,18.25
Chile,0,4,0%,25
Iran,0,3,0%,6.67
Switzerland,0,3,0%,8.67
Colombia,0,3,0%,14.33
Netherlands,0,3,0%,14.33
United Arab Emirates,0,2,0%,2
Azerbaijan,0,2,0%,5
Venezuela,0,2,0%,5
Kenya,0,2,0%,5.5
Cambodia,0,2,0%,6
Myanmar (Burma),0,2,0%,6.5
Jordan,0,2,0%,7
Uzbekistan,0,2,0%,7
Poland,0,2,0%,7.5
Greece,0,2,0%,8
Romania,0,2,0%,8.5
Ukraine,0,2,0%,8.5
Albania,0,2,0%,9
New Zealand,0,2,0%,9.5
Bahrain,0,2,0%,10.5
Oman,0,2,0%,14.5
Russia,0,2,0%,15.5
Italy,0,2,0%,22
Egypt,0,2,0%,23
Barbados,0,1,0%,1
Maldives,0,1,0%,1
Brunei,0,1,0%,2
Mauritius,0,1,0%,2
Kazakhstan,0,1,0%,3
Armenia,0,1,0%,4
Libya,0,1,0%,4
Israel,0,1,0%,5
Qatar,0,1,0%,5
Belgium,0,1,0%,7
Nepal,0,1,0%,7
Lebanon,0,1,0%,8
Serbia,0,1,0%,9
Iraq,0,1,0%,10
Suriname,0,1,0%,10
Honduras,0,1,0%,11
Lithuania,0,1,0%,11
Ecuador,0,1,0%,20
Czechia,0,1,0%,31
Peru,0,1,0%,36
Paraguay,0,1,0%,41
Bosnia & Herzegovina,0,1,0%,48
