Date,Clicks,Impressions,CTR,Position
2025-11-03,0,0,,
2025-11-04,1,2,50%,6
2025-11-05,1,6,16.67%,14.5
2025-11-06,0,8,0%,20.6
2025-11-07,0,9,0%,27.6
2025-11-08,0,8,0%,17
2025-11-09,0,14,0%,17.9
2025-11-10,0,12,0%,15.3
2025-11-11,1,10,10%,11.1
2025-11-12,1,7,14.29%,13.1
2025-11-13,0,7,0%,11.1
2025-11-14,0,13,0%,14.2
2025-11-15,0,8,0%,17
2025-11-16,1,5,20%,11.8
2025-11-17,0,5,0%,31.4
2025-11-18,0,13,0%,12.8
2025-11-19,0,7,0%,14.1
2025-11-20,0,6,0%,12.7
2025-11-21,0,5,0%,14.8
2025-11-22,0,5,0%,37
2025-11-23,0,12,0%,21.1
2025-11-24,1,6,16.67%,23.8
2025-11-25,0,6,0%,18.5
2025-11-26,0,5,0%,30.8
2025-11-27,1,7,14.29%,22.3
2025-11-28,0,7,0%,14.1
2025-11-29,0,3,0%,25.3
2025-11-30,0,2,0%,23.5
2025-12-01,0,10,0%,11.2
2025-12-02,0,3,0%,16.7
2025-12-03,0,5,0%,19
2025-12-04,1,2,50%,47
2025-12-05,0,2,0%,40.5
2025-12-06,0,1,0%,44
2025-12-07,0,3,0%,27.7
2025-12-08,0,5,0%,27.6
2025-12-09,0,6,0%,23.7
2025-12-10,0,9,0%,16.9
2025-12-11,0,7,0%,21.1
2025-12-12,0,5,0%,28
2025-12-13,0,3,0%,21.3
2025-12-14,1,7,14.29%,22
2025-12-15,0,7,0%,16.1
2025-12-16,0,5,0%,23.6
2025-12-17,0,5,0%,18.6
2025-12-18,0,5,0%,32
2025-12-19,0,6,0%,14
2025-12-20,0,3,0%,18
2025-12-21,0,8,0%,9.2
2025-12-22,1,11,9.09%,9.5
2025-12-23,1,14,7.14%,9.7
2025-12-24,0,3,0%,20.3
2025-12-25,0,64,0%,55.4
2025-12-26,0,102,0%,53.5
2025-12-27,1,61,1.64%,42
2025-12-28,0,52,0%,44.8
2025-12-29,0,66,0%,42.1
2025-12-30,3,73,4.11%,39.2
2025-12-31,0,52,0%,46
2026-01-01,1,48,2.08%,34.7
2026-01-02,2,20,10%,21.1
2026-01-03,0,17,0%,15.2
2026-01-04,1,19,5.26%,20.5
2026-01-05,4,30,13.33%,18.4
2026-01-06,1,25,4%,21.8
2026-01-07,0,26,0%,15.9
2026-01-08,3,42,7.14%,18.3
2026-01-09,1,28,3.57%,23.6
2026-01-10,0,18,0%,28.6
2026-01-11,1,19,5.26%,18.6
2026-01-12,1,25,4%,14.9
2026-01-13,0,24,0%,19
2026-01-14,1,43,2.33%,18.1
2026-01-15,1,24,4.17%,13.8
2026-01-16,1,22,4.55%,33.9
2026-01-17,1,14,7.14%,38.6
2026-01-18,1,33,3.03%,14.8
2026-01-19,0,28,0%,19.5
2026-01-20,0,41,0%,14.5
2026-01-21,4,38,10.53%,15.7
2026-01-22,0,63,0%,33.8
2026-01-23,1,38,2.63%,15.1
2026-01-24,2,70,2.86%,43.7
