Country,Clicks,Impressions,CTR,Position
Malaysia,41,1341,3.06%,32.73
Singapore,1,12,8.33%,8.83
United States,0,125,0%,8.18
United Kingdom,0,17,0%,6.71
India,0,6,0%,15.17
Australia,0,5,0%,6.2
Indonesia,0,5,0%,6.4
Japan,0,4,0%,5.75
Brazil,0,4,0%,8.25
Vietnam,0,4,0%,10
Canada,0,3,0%,6.67
Bangladesh,0,3,0%,7
France,0,3,0%,11
Spain,0,3,0%,17
Thailand,0,2,0%,7
Oman,0,1,0%,1
Germany,0,1,0%,3
Mexico,0,1,0%,3
Netherlands,0,1,0%,3
Nigeria,0,1,0%,4
Belgium,0,1,0%,5
Jamaica,0,1,0%,5
Venezuela,0,1,0%,5
Italy,0,1,0%,6
Azerbaijan,0,1,0%,9
South Korea,0,1,0%,9
Philippines,0,1,0%,10
Argentina,0,1,0%,11
Algeria,0,1,0%,11
Seychelles,0,1,0%,11
Czechia,0,1,0%,12
Guatemala,0,1,0%,15
Honduras,0,1,0%,15
Taiwan,0,1,0%,15
Pakistan,0,1,0%,18
Iraq,0,1,0%,20
